baseline,DeepSeek-V3.2,Qwen3-235B,GPT-OSS-20B,Gemma-3-27B,Llama-3.1-8B
Always Cooperate,9.451363671495972,9.490728579244768,11.557561005950433,11.566646999509071,11.566646999509071
Graded TFT,8.781606167046618,2.310047782998592,0.7836544791666666,0.79652,0.79652
WSLS,4.3373446320797715,4.195537806329526,0.8616309375,0.8616309375,0.8616309375
Random,0.02226501257553317,2.8260320340335876,4.770533073305032,4.850726221782211,4.850726221782211
Always Defect,-0.424,-0.208,-0.032,0.0,0.0
Grim Trigger,-0.768,0.0,0.0,0.0,0.0
