match_dir,M,p,lam,seed,seat,agent,kind,mean_coop,mean_reward,total_reward,switch_rate,gtft_match_rate,final_action,final_coop
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.00__s101,2,0.2,0.0,101,0,always_cooperate,deterministic,1.0,-0.85,-42.5,0.0,0.16,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.00__s101,2,0.2,0.0,101,1,always_defect,deterministic,0.0,0.65,32.5,0.0,0.84,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.00__s101,2,0.2,0.0,101,2,graded_tft,deterministic,0.16,0.41,20.5,0.22,1.0,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.00__s101,2,0.2,0.0,101,3,gpt4o_mini,llm,0.08,0.53,26.5,0.02,0.88,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.00__s101,2,0.2,0.0,101,4,grok_41_fast,llm,0.06,0.56,28.0,0.06,0.9,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.30__s101,2,0.2,0.3,101,0,always_cooperate,deterministic,1.0,-0.8423911725803963,-42.119558629019814,0.0,0.16,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.30__s101,2,0.2,0.3,101,1,always_defect,deterministic,0.0,0.6623014300704178,33.11507150352089,0.0,0.84,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.30__s101,2,0.2,0.3,101,2,graded_tft,deterministic,0.16,0.4176088274196037,20.880441370980186,0.22,1.0,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.30__s101,2,0.2,0.3,101,3,gpt4o_mini,llm,0.08,0.5405694572229773,27.028472861148867,0.02,0.88,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.30__s101,2,0.2,0.3,101,4,grok_41_fast,llm,0.06,0.5711171781490683,28.555858907453413,0.06,0.9,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.60__s101,2,0.2,0.6,101,0,always_cooperate,deterministic,1.0,-0.8347823451607925,-41.73911725803963,0.0,0.16,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.60__s101,2,0.2,0.6,101,1,always_defect,deterministic,0.0,0.6746028601408354,33.73014300704177,0.0,0.84,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.60__s101,2,0.2,0.6,101,2,graded_tft,deterministic,0.16,0.42521765483920754,21.260882741960376,0.22,1.0,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.60__s101,2,0.2,0.6,101,3,gpt4o_mini,llm,0.08,0.5511389144459546,27.556945722297733,0.02,0.88,1,0.0
