match_dir,match_id,seed,model_raw,model,baseline_raw,baseline,mean_coop,mean_payoff,early_coop,late_coop,delta_late_minus_early,switch_rate,retaliation,forgiveness,num_rounds,agent_output_files,agent_output_chars
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__grim_trigger__seed102,deepseek_v32__vs__grim_trigger__seed102,102,deepseek_v32,DeepSeek-V3.2,grim_trigger,Grim Trigger,0.04,-0.32,0.2,0.0,-0.2,0.061224489795918366,0.04081632653061224,,50,2,233437
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__grim_trigger__seed103,deepseek_v32__vs__grim_trigger__seed103,103,deepseek_v32,DeepSeek-V3.2,grim_trigger,Grim Trigger,0.08,-0.64,0.3,0.0,-0.3,0.10204081632653061,0.061224489795918366,,50,2,230633
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__grim_trigger__seed104,deepseek_v32__vs__grim_trigger__seed104,104,deepseek_v32,DeepSeek-V3.2,grim_trigger,Grim Trigger,0.26,-2.08,0.7,0.2,-0.49999999999999994,0.24489795918367346,0.12244897959183673,,50,2,234982
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__grim_trigger__seed105,deepseek_v32__vs__grim_trigger__seed105,105,deepseek_v32,DeepSeek-V3.2,grim_trigger,Grim Trigger,0.1,-0.8,0.2,0.1,-0.1,0.1836734693877551,0.10204081632653061,,50,2,232576
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__random_uniform__seed101,deepseek_v32__vs__random_uniform__seed101,101,deepseek_v32,DeepSeek-V3.2,random_uniform,Random,0.53,3.1019394609114666,0.55,0.5,-0.050000000000000044,0.08163265306122448,0.07142857142857142,,50,2,241124
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__random_uniform__seed102,deepseek_v32__vs__random_uniform__seed102,102,deepseek_v32,DeepSeek-V3.2,random_uniform,Random,0.89,-0.5947355873604215,0.75,1.0,0.25,0.16326530612244897,0.13043478260869565,1.0,50,2,236484
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__random_uniform__seed103,deepseek_v32__vs__random_uniform__seed103,103,deepseek_v32,DeepSeek-V3.2,random_uniform,Random,0.85,-0.34676716525802687,0.9,0.8,-0.09999999999999998,0.20408163265306123,0.19047619047619047,1.0,50,2,237958
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__random_uniform__seed104,deepseek_v32__vs__random_uniform__seed104,104,deepseek_v32,DeepSeek-V3.2,random_uniform,Random,0.955,-1.2508309641354474,1.0,1.0,0.0,0.12244897959183673,0.08,1.0,50,2,238575
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__random_uniform__seed105,deepseek_v32__vs__random_uniform__seed105,105,deepseek_v32,DeepSeek-V3.2,random_uniform,Random,0.88,-0.7982806812799044,0.75,1.0,0.25,0.16326530612244897,0.1,1.0,50,2,239455
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__wsls__seed101,deepseek_v32__vs__wsls__seed101,101,deepseek_v32,DeepSeek-V3.2,wsls,WSLS,0.42,2.0728532684837138,1.0,0.0,-1.0,0.10204081632653061,0.09375,,50,2,237001
